Goblet_STEAP4+_n,Goblet_STEAP4+_l,Goblet_STEAP4+_p,Club_DHRS9+_n,Club_DHRS9+_l,Club_DHRS9+_p,iavEpi_n,iavEpi_l,iavEpi_p,Basal_SERPINE1+_n,Basal_SERPINE1+_l,Basal_SERPINE1+_p,Basal_SERPINE2+_n,Basal_SERPINE2+_l,Basal_SERPINE2+_p,Goblet_RARRES1+_n,Goblet_RARRES1+_l,Goblet_RARRES1+_p,iavAT2_lip_n,iavAT2_lip_l,iavAT2_lip_p,Basal_IGFBP6+_n,Basal_IGFBP6+_l,Basal_IGFBP6+_p,iavClub_SAA1+_n,iavClub_SAA1+_l,iavClub_SAA1+_p,SupraB_KRT16+_n,SupraB_KRT16+_l,SupraB_KRT16+_p
ATP1B1,1.3710643,0.0,FUT3,2.8065994,8.60080792183802e-182,COX6C,0.9963579,1.5856142257910637e-148,IL1RN,4.147704,0.0,TAGLN,6.6914043,0.0,HLA-DRB1,2.5552115,1.781096961337953e-94,RERE,1.8699884,7.892739291676554e-108,RPL10,0.93456936,2.5701810928655494e-169,S100A6,0.799862,2.8498886586192433e-68,PSAP,1.0736986,5.053266704247966e-50
NR4A1,3.7384915,0.0,TMEM123,1.6176667,5.622713418516782e-181,RPS29,0.547722,1.7692452365467434e-148,PDPN,6.225222,0.0,MMP2,5.737041,0.0,GSTA1,2.9929051,2.0824138197795253e-93,RELB,4.7207494,6.4462844070602e-107,SH3BGRL3,1.7065159,2.2984032663712495e-168,PSAT1,2.918317,7.062470036409535e-68,YWHAZ,0.9993747,9.032037691461982e-50
B4GALT5,2.5690675,0.0,CAPNS1,1.0253916,3.93884825052117e-180,S100P,2.4092202,1.6043526752288066e-147,RTN4,2.0288787,0.0,ANXA5,2.382176,0.0,LRG1,2.8002942,2.7188526972861574e-93,AGBL2,5.8844886,1.764801625745462e-106,PDLIM1,1.7739929,5.912115903969561e-168,S100P,1.9772149,9.98242161385613e-68,SERPINB1,2.252551,1.8989603156785983e-48
GLUL,1.9568241,0.0,IFI44,2.531127,3.2252143266638926e-179,BPIFA1,2.5760024,1.6906192119792075e-143,IFIT3,3.565723,0.0,ARPC2,1.4724648,0.0,PSCA,3.3688107,4.257639919563336e-93,ITFG2,4.075015,1.1157157239341287e-104,RPS2,0.90922356,8.761398646820907e-168,RBBP6,1.5437791,7.509035222052963e-67,DUOX2,4.5506597,1.7091010494862925e-47
HLA-A,0.9946784,0.0,UHMK1,2.010119,3.2252143266638926e-179,HLA-DRB1,2.2893915,2.7714897775681625e-134,DST,5.0895934,0.0,ARL4C,5.1291976,0.0,SLC9A3R1,2.2432191,7.196889978745693e-93,DENND5A,4.336512,2.9831182197900403e-102,RPS18,1.0606077,1.0310130741134109e-167,MT-ATP6,0.5065574,8.40980703217528e-67,S100A10,2.3485804,3.9329987681835007e-47
EPHX1,2.209127,0.0,RAB25,2.0175962,9.595933220649228e-179,RPS24,0.60010546,3.0656951639342916e-132,STAT1,2.7770855,0.0,CTSB,1.5497731,0.0,FOXA1,2.215892,5.137926670117684e-91,MRTFA,4.150411,5.166698568678124e-102,RPL15,0.8427019,5.8276571649562296e-167,MTRNR2L12,0.70406896,3.7621411137335714e-66,EIF1,1.0809965,7.954573705202782e-47
TNFSF10,1.8815975,0.0,SPINT1,1.2063619,6.792499609093814e-177,MDK,1.7219208,3.2880323501184055e-130,S100A2,2.7936082,0.0,TIMP3,5.5022407,0.0,ST6GALNAC1,2.5599113,1.8469030385640697e-90,SCAI,5.207033,3.2362728056453975e-101,TIMP1,2.6974435,3.05687272594663e-166,CYCS,0.9583836,2.9443943127591045e-64,MAF,3.7346416,2.1984176826906328e-46
SLC6A14,3.36923,0.0,IFIT1,2.9303086,1.0638618715261319e-176,RPS13,0.64313686,1.1053090873160536e-127,IFI6,2.4311454,0.0,FHL2,3.493978,0.0,CYP4B1,2.766747,1.866726636851439e-89,USP34,2.406813,1.3835924193593533e-95,RPS20,0.78607124,3.6847772243429036e-166,IFI27,2.0723512,2.326468367484291e-63,SH3BGRL3,1.5241569,1.729923740863002e-45
BPIFA1,3.2029448,0.0,CTSS,2.5592978,1.4149049980259044e-176,RPL21,0.653834,4.631721520937414e-126,KRT5,3.6133997,0.0,RTN4,1.9859798,0.0,ALDH2,1.9918208,1.1356115769468398e-88,TULP3,4.134586,2.2721479196163987e-95,RPL11,0.8675626,5.188060520622681e-165,ISG15,2.1585865,1.412423687434852e-62,VEGFA,2.992107,7.702282854083968e-45
MX1,2.7700846,0.0,SHISA5,1.4886199,1.8682979827032472e-174,ATP5MF,0.76378256,5.2315121069488576e-126,BASP1,4.5971103,0.0,MT2A,2.2338438,0.0,FAM107B,2.1456134,2.818533058805142e-88,DNAH12,4.9398,9.140176656840919e-94,RPL3,0.9974216,1.4207933398408698e-163,CSTB,0.9871097,1.5497447120600878e-60,LBH,3.8426325,1.0407684473833621e-43
PLK2,2.4018629,0.0,DHCR24,1.7697074,3.4216586050789654e-171,RARRES1,2.804555,4.2033026925798025e-123,TAGLN,6.78812,0.0,COL7A1,5.484056,0.0,DBI,1.4830887,3.4620937717413417e-87,NEAT1,0.82042485,2.563833546179188e-91,CLCA4,4.4383197,6.320356045813116e-162,MYL12A,0.7163635,1.6140731561445015e-59,SDC1,1.8262961,2.0722948016782778e-43
CLINT1,2.0456808,0.0,CAMK1D,2.2658165,3.705525757582062e-170,NDUFB1,1.206775,7.475303152125676e-114,TPM3,1.9891263,0.0,SLC3A2,3.79728,0.0,VAMP8,0.90235007,4.099353075956832e-87,ICAM1,3.3106868,6.561386789572971e-90,RPL27,0.98921245,7.068239176942866e-162,SOD2,1.6585778,1.6943048800661418e-59,GPNMB,3.984305,4.439039789321796e-43
FUT2,3.2868648,0.0,APOL6,2.3228211,4.441054000285278e-170,BPIFB1,2.1265771,2.1877481897422187e-113,COL7A1,5.639888,0.0,SLC38A1,3.2632487,0.0,CYP2F1,3.1967597,9.281920513567837e-87,COL9A1,4.7558885,6.1780741248479245e-89,RPS13,0.8314075,3.61229712516604e-161,RPL37A,0.4987041,2.2178884442024857e-59,FERMT1,3.638293,1.497389335695122e-42
PRR15,3.3146434,0.0,RDH10,2.664207,8.300179681829507e-169,RPL22,0.66081256,6.15521796881318e-112,NUPR1,4.366555,0.0,S100A2,2.7186253,0.0,PNPLA2,1.8217961,4.2146451257232094e-86,STAT3,0.9797299,6.490092633027018e-89,RPLP1,0.84976965,1.144935868908073e-159,MTRNR2L8,0.6605754,3.435316442544057e-58,GJB3,3.3607936,1.5014817035052863e-42
MUC16,3.403901,0.0,TRIM22,1.8982654,1.2838456477709544e-168,NDUFB2,0.87353164,2.311738327899651e-111,SP110,3.1240387,0.0,MMP14,3.9817843,0.0,ALDH1A3,1.5028467,1.5462923472282762e-85,KDM2A,2.1124947,1.1602398391318749e-88,UBA52,1.0363588,1.144935868908073e-159,IL32,2.6025076,3.4030292299597575e-57,YBX3,1.1649855,3.956682045137678e-42
TRIM22,2.1843874,7.091680310606934e-308,ST6GALNAC1,2.7044616,6.360705821861822e-168,GABRB1,3.4054072,2.1378544960280366e-107,TAGLN2,2.5857491,0.0,ACTG1,1.667223,0.0,ELOVL5,1.9309967,4.183323716341311e-85,NXN,2.6714919,1.4348005769118827e-84,LDHA,1.5139321,2.924013118682929e-159,MT-ND5,0.5461312,9.751541947361639e-57,ADGRF4,3.817787,5.344884622335166e-42
MAL2,2.277376,2.800686395907511e-304,DDX60,2.7016509,2.920449046105784e-167,SKP1,0.82876503,6.771670796436092e-107,S100A10,3.0373874,0.0,MYH9,2.868181,0.0,SLC15A2,2.5789394,4.3780611127271164e-85,SCGB1A1,1.9325091,1.3097414329607447e-80,RPL12,0.92343944,6.19915973181442e-159,PTGS2,2.595114,8.034623590241552e-56,CD82,2.1688972,1.2550216807346322e-41
PARP9,2.4248402,1.9753042678543144e-303,B4GALT4,2.5973268,3.243447850833237e-167,RPL9,0.60024554,1.1498482787673195e-105,ITGA2,3.9886112,0.0,ITGA3,4.047909,0.0,MGST1,1.2416016,7.639959824399843e-85,KMT2C,2.3512633,4.842850426437159e-80,PRXL2A,2.9271107,2.3175285058936717e-157,RPS11,0.53362215,1.4261393876182373e-55,RNF19B,2.785232,1.716095365992344e-41
IFI44,2.8394494,8.915640307205225e-303,SYTL5,2.9209726,3.4026082349353084e-167,NDUFA4,0.8659208,2.836573068012771e-105,ARPC2,1.4617665,0.0,EGFR,3.7290094,0.0,MUC5B,3.1808732,4.318545920443518e-84,AL139317.5,5.9584794,4.51355184422852e-79,RPL30,0.85437655,3.8129040849440196e-157,SLC38A2,1.1319381,3.4845456374594724e-55,CAMK2N1,2.3381932,1.8521507658020981e-41
SLC15A2,3.1725802,8.525117826271815e-299,HS3ST1,2.4323525,1.544679904450373e-166,MSMB,2.248724,8.67322423620081e-105,CKAP4,3.069882,0.0,TUBA4A,4.8950205,0.0,EID1,1.3892534,4.623183039849952e-84,RAD9A,3.9479532,2.6120854823702287e-78,NAP1L1,1.2933881,5.7668813594409524e-157,RPS14,0.76126015,5.757422395617827e-55,DSG2,2.2001815,2.0726714005376771e-41
PLSCR1,2.201367,1.2168302052286925e-293,SLC9A3R1,2.302577,2.613659366528253e-166,RPL30,0.62123674,2.3176078678167102e-104,AXL,5.818001,0.0,S100A10,2.9639704,0.0,VTCN1,2.5420978,1.0283390335876509e-82,AL136115.2,6.276208,1.5238834292706415e-77,NPM1,1.0706632,3.816418990013284e-156,RPL19,0.6162982,6.552981532919609e-55,NDRG1,2.5209792,5.703628194224191e-41
ERBB3,2.940269,5.343356755679441e-293,CLINT1,1.822158,1.0835933630261425e-165,SELENOW,0.9967053,6.147960096919402e-104,GPNMB,5.648892,0.0,ACTB,1.2158408,0.0,BPIFA2,2.916681,1.3622471469710494e-82,GPBP1,1.2414292,9.738894328260124e-77,RPL26,1.1002,5.326168031561541e-156,KRT17,1.9352121,9.282242366322827e-55,HBEGF,3.6708424,5.736297259860138e-41
RHOB,2.3406122,5.197101849927866e-289,CHST9,2.7492285,7.052518009705285e-165,RPL38,0.74055034,1.0625689666998195e-103,SH3BGRL3,2.01025,0.0,CFL1,0.96951103,0.0,ALOX15,2.907838,1.7430815344753286e-82,TBC1D8,3.7868202,5.085707779981841e-76,LGALS1,4.409402,4.900560438792292e-155,ATP5MD,0.8267534,2.688558748229117e-54,FRMD6,3.4504163,9.521510393759928e-41
ADGRF1,3.0777247,6.356660315215822e-289,SYTL2,2.704737,1.7479596837593867e-164,NDUFB4,1.0030724,9.098888794860403e-103,CD99,4.1320763,0.0,LRRC8A,3.595726,0.0,SERPINB3,2.344425,1.2691531529490482e-81,TNFRSF10B,1.9627938,1.0650700863141723e-72,RPS21,1.0700132,8.091603544784612e-154,RPL28,0.7093407,6.384460187854674e-54,BASP1,3.280928,1.228789151780394e-40
SAMHD1,2.7659075,3.497965438084e-288,MT1X,1.0544193,3.305348237609495e-162,ALDH1A1,2.2252243,4.083478964060265e-102,TIMP3,5.5140195,0.0,DKK3,5.564149,0.0,ZMAT3,2.297219,2.561842666813818e-80,PPP1R13B,3.3209932,2.2119000643564685e-72,DAPL1,4.1927667,1.5273252588116275e-153,EEF1B2,0.747695,1.3291382234429272e-53,IGFBP7,3.2852216,1.4365997708991138e-40
LGALS9,2.6659503,6.221249448298106e-287,IFI44L,2.785413,8.440014178501246e-162,UBL5,0.74200433,4.933252826059271e-100,CLDN1,3.7056534,0.0,SNAI2,5.1282616,0.0,CHST9,2.5960364,4.8100226408410394e-80,IRAK2,4.056333,5.69123059896916e-72,RPL9,0.82667124,1.8171536174093946e-151,PCK2,2.366358,1.5514805025419479e-53,AHNAK2,3.524348,1.942885070104813e-40
KRT19,1.1177464,6.417262735982913e-287,CEACAM1,2.464399,2.7010869347862954e-161,RPL27A,0.56650454,6.823548463053227e-100,SERPINB5,4.348414,0.0,DAAM1,3.688791,0.0,TP53INP2,2.38518,1.3996804164157722e-79,CPEB3,3.3733933,7.513334905911502e-72,S100A16,1.7162343,1.1022231007601697e-148,ZC3HAV1,1.2483793,2.4948305910190876e-53,CAST,1.2664503,2.116864262455307e-40
SAMD9L,3.1567185,1.0098731708189471e-284,SAMD9L,2.781742,8.201218016967365e-160,RPS11,0.55454886,3.5133807651196412e-99,PPP1R18,4.8168125,0.0,FERMT1,4.9813895,0.0,JUND,1.3976004,5.183479000068113e-78,SPDYA,5.312101,7.799689678724641e-68,SERPINB5,3.4875522,9.289377106955011e-147,COX4I1,0.7145476,3.593466487179207e-53,RAB10,1.2012011,4.84340699045255e-40
APOL6,2.6607559,1.3820034391138015e-284,PRR15,2.7206867,2.7267975035055167e-159,S100A9,1.647862,3.752435162631615e-99,C1R,5.1900153,0.0,PTMS,2.605162,0.0,CMAS,1.8611505,3.801900621973736e-77,RNF4,2.818942,4.5696341917466365e-67,LAD1,3.1556177,6.261268968446783e-146,COX6A1,0.6037863,2.3432827504466872e-52,TAGLN2,1.8828442,7.060357396736864e-40
ACSL1,3.1088595,7.733301648345927e-284,TACSTD2,0.8772489,1.2970532928860339e-158,COX7B,1.1007996,1.7492500913393902e-96,LAMB1,4.8204327,0.0,PHLDA1,4.7049694,1.5328522665501992e-307,CPD,1.7213418,6.4308210188862296e-77,MAML1,3.3114855,4.9539742054163776e-67,RPL37,0.8887908,1.8155583986803922e-145,RPS8,0.48834407,5.559093809081925e-52,CD59,1.3559579,8.803767388107781e-40
CYP4X1,3.0361252,7.39522204033984e-278,CLDN4,2.3153758,3.6697182365743816e-156,RPS4X,0.60599977,7.179813518396622e-95,CTSB,1.4902122,0.0,DSC3,4.625379,1.6156884182895618e-307,INSIG1,2.6093316,9.76690566028136e-77,ABHD18,3.4293807,6.304510728287822e-67,S100A14,2.1088066,5.893924390270546e-145,RPL18A,0.63972557,1.4210007571108433e-51,CDKN2B,3.005252,9.42537225475057e-40
IFI44L,3.066968,1.6227933296877936e-277,C6orf62,1.823894,6.567248030689692e-156,ATP5ME,0.8516278,1.2379424725125462e-92,LIMA1,1.8811666,0.0,GPNMB,5.3292875,7.427128459657722e-306,VSTM2L,2.491094,9.76690566028136e-77,NUMB,1.3818098,1.0726450465233713e-66,RPL35A,0.8347471,9.650839477085504e-145,BTG3,1.527419,1.2253120318254463e-50,POLR2J3,3.317532,1.288920021439469e-39
LMO7,2.6670563,2.5366259891594177e-277,SEPT2,1.1422977,2.8353794425751995e-155,HHLA2,3.258444,1.3923697877619193e-92,AIDA,3.2413259,0.0,LDHA,1.8397377,9.761439132417436e-305,GABRP,3.0195055,1.0301274900629894e-76,LDHC,6.3150725,1.2049025917454021e-64,RPL35,1.3655467,1.314402019493518e-144,RPL26,0.6960718,1.5792381663383033e-50,SERPINB4,3.4142685,2.762580928367583e-39
PNPLA2,2.139426,4.061011857166796e-276,S100A4,2.444146,6.877629677684409e-155,RPS20,0.5323798,3.8962595484729415e-92,PLAUR,4.812756,0.0,PIM1,4.864175,1.0954683075519995e-299,NCCRP1,2.6720135,3.120304985182882e-76,Z93930.2,4.3905396,2.2790450609171477e-64,RPS7,1.021505,1.5074972867311057e-143,AL161431.1,2.986767,3.625163369534115e-50,CAPG,2.782362,3.1840140518662095e-39
HERC6,2.7798808,3.5866129735170344e-275,GBP4,2.8517187,3.6549352471731326e-152,RPL37A,0.49442282,6.395016159543471e-91,CXCL11,7.2370763,0.0,DSG3,4.905305,3.276593602389835e-297,CXXC5,2.3512352,9.549829325495539e-76,AC007952.4,4.3965893,1.8597229935235215e-63,RPL13A,0.6928133,7.380510856099174e-141,MT-CO3,0.39695296,3.3442449842719367e-49,PIM1,3.4882164,6.246585022017187e-39
ALOX15,3.4341311,1.1636604191542662e-273,RTP4,2.540949,1.807138545443624e-151,CSTB,0.91751677,1.0151622009216597e-90,PLEK2,4.6592,0.0,PDPN,5.5936804,3.869679080577783e-297,MAGED1,2.0538445,1.145095103740106e-75,PPP1R42,5.3383346,2.9285723077981755e-63,FABP5,3.4871132,9.364566573361094e-141,BIRC3,1.9688154,1.2885066088464752e-47,NUPR1,2.9881055,1.185334458959293e-38
LGALS8,1.6718745,8.296483586767934e-273,EIF2AK2,1.9629452,5.3324039516443916e-151,SCGB1A1,2.1637988,3.5251387507211525e-90,ANXA5,2.2866676,0.0,MYL9,5.456661,9.666925623085516e-290,MSMO1,1.934893,1.5186063835878225e-75,SRPK2,1.6934267,2.9173887805373776e-62,IGFBP2,3.1575909,5.560568956760376e-140,COX7C,0.6006479,7.496927085652835e-47,CALM1,0.9464718,1.4103598038304628e-38
FDFT1,2.328356,8.73942577189206e-273,BAG1,1.8197348,1.9222932323728607e-150,UQCRH,0.7413397,1.0093447827452895e-89,PEA15,3.167134,0.0,RAC2,4.060175,2.556492813695076e-289,ARHGDIB,2.5448637,9.478613979094564e-75,APOLD1,5.099481,6.0169494042369385e-62,GAPDH,0.8898465,1.8375549114151256e-137,GNG5,0.71552205,1.9230207236065724e-46,ENO1,1.2177923,2.0889271109405604e-38
CYB5A,2.1283565,4.5087925896948053e-272,IFI16,1.3694333,4.186394367001671e-149,CYP4X1,1.9247934,2.8613970421587246e-89,ITGAV,4.2340755,0.0,PPP1R14B,2.9994407,3.8326495271042587e-289,TRIM2,2.3082478,1.0418233516873631e-74,PHACTR4,1.1954073,1.1577237357660941e-60,RPL38,0.97948843,2.202590545428871e-134,RPL22,0.54106855,2.6168252253830315e-46,PLAUR,3.329037,3.119158067178676e-38
VPS13D,2.7608566,1.6776850522090628e-271,VILL,2.4006326,5.431389685220918e-147,ATP5PF,0.7656359,9.976463000320032e-89,MAP2,5.1981215,0.0,FSTL3,4.992178,3.712238097459451e-287,SLC6A14,2.5755663,1.1725245853801485e-74,HSP90AA1,0.4715772,1.4874825942799897e-60,TKT,1.9542389,6.470086099434653e-134,RPL32,0.57787114,2.8223883653236747e-46,PPP1R14B,2.3705292,6.000246874736764e-38
SLC9A3R1,2.5286868,9.492700746206614e-268,TFCP2L1,2.6467354,3.0877331158308105e-144,RPL12,0.6442553,2.1203878526379248e-88,LDHA,1.888287,0.0,AXL,5.245402,7.489299186319682e-281,TGM2,2.3203115,2.3321111498362598e-74,KANSL1,2.1589031,9.626531102270516e-60,PGK1,1.3291056,2.5254428010838873e-132,B2M,0.57043,2.93553516274784e-46,IL1B,3.8583057,8.586779151683131e-38
METTL7A,3.0761368,1.6714905285780634e-266,TRIM5,2.2829227,8.120926066270426e-144,PIGR,2.3938532,5.810370532470981e-88,VEGFA,3.8606143,0.0,YBX1,1.2873602,8.630606558567408e-275,CHP2,2.6722462,1.1053378903089184e-73,CGAS,3.5141861,7.899479912651512e-59,ATP5MC3,1.1702456,3.296244818037116e-132,GABRB1,2.7734654,4.494890891722772e-46,FTH1,0.8773867,2.318490928295377e-37
BST2,3.1388595,2.3235495081636402e-266,CLDN7,1.6483446,3.7205506574681885e-143,SERPINB3,2.032226,1.7306884142987823e-87,OPTN,2.642637,0.0,AC245041.2,4.752046,2.778024214305508e-272,ZFP36,1.8652894,3.2466907777245077e-73,WDR76,5.796241,3.0673605014742643e-58,RPS12,0.8188986,3.379119197148609e-132,CLDN7,1.0353924,5.095780983909298e-46,FABP5,3.2668982,2.6192814264861645e-37
CTSS,2.8181608,2.040578066346242e-265,IFIT3,2.5200906,4.910469641778775e-142,IDH1,1.293221,1.986004778523123e-87,ACTB,1.140722,0.0,VEGFA,3.5598445,1.0431688970332626e-270,METTL7A,2.447124,3.5133990359690943e-73,JMJD1C,1.8114694,5.761721872878231e-58,RPL8,1.173794,4.499749473974233e-132,RPL30,0.49389687,7.510144534497446e-46,TUBB6,3.3536787,6.843781828834493e-37
NCCRP1,3.2160473,6.045237989861675e-265,APOL2,2.2341235,1.3908759967274018e-140,RPS12,0.5837922,2.1633382205332635e-86,ACTG1,1.5801259,0.0,PPP1R18,4.387998,1.1503759943746256e-270,LZTS3,2.493775,4.93683384031423e-73,AL627171.2,5.9624214,1.6195988492365937e-57,PGAM1,1.6424723,1.4724222155945765e-131,CCL20,2.8059568,1.0018630734691158e-45,GBP6,3.4689744,2.3735767826176486e-36
B3GNT7,2.9663284,2.7753642447146464e-261,TMEM59,1.0186151,2.324864423085685e-140,ATP5IF1,0.8526489,3.137617079065199e-86,SPATS2L,1.9216219,0.0,KRT6A,3.7652564,1.1718824468003494e-270,RDH11,1.4912381,1.1760254305332583e-72,PPP6R2,2.9840777,9.165925082914734e-57,HINT1,0.9717896,2.380111386769717e-131,RPS21,0.6369474,9.930416784910166e-45,CD44,3.2058816,1.1570093419303132e-35
EPCAM,2.684242,3.580123788939063e-261,VTCN1,2.4727547,2.373011076058734e-140,SAA2,2.0081563,5.7719337664104215e-86,IFIH1,3.470626,0.0,MAF,4.5018206,1.3068447519931674e-265,ADGRF1,2.3905463,4.810089439511421e-72,OLMALINC,2.8884428,5.716560885013185e-56,ARPC2,1.1025611,2.407523445411192e-131,EIF4EBP1,1.8382171,6.872117223276316e-44,MMP13,3.688143,1.1694887685902703e-35
SMIM14,1.9496267,1.0745353291636233e-260,C3,1.6792208,4.760008865153711e-140,RPL27,0.6454736,7.8802984744164e-86,SLC3A2,3.636474,0.0,ATP2A2,1.9525234,5.367179246529845e-265,VMO1,2.6889563,5.544453397443812e-72,IFNGR2,1.1687708,7.604672371518138e-56,RPS27A,0.7698253,1.3520924347513477e-130,CXCL1,1.9506971,9.611375269301666e-44,CDKN1A,1.5252501,1.4272710189253517e-35
TNFAIP2,2.992796,1.7967722399683725e-259,LPCAT4,2.2591546,6.9618913536398485e-140,KLK11,1.8642843,8.864745389885035e-86,TINAGL1,3.0277777,0.0,TXNDC17,2.1772516,5.149501388635723e-264,CLIC6,2.577845,1.1248953308530059e-71,INSR,1.5517869,1.5421833199386689e-55,RPS26,1.1501929,1.7149088309737692e-130,RPL13A,0.46202475,2.8825068663725804e-43,CPM,3.4344475,1.6001059105136938e-35
